CVE_ENT,CVE_MUN,CVE_LOC,NOMLOC
01,001,0239,General José María Morelos y Pavón (Cañada Honda)
02,005,0001,Playas de Rosarito
07,027,0622,Jardínes del Grijalva
09,009,0011,San Antonio Tecómitl
09,009,0300,San Nicolás Tetelco
09,011,0026,Santa Catarina Yecahuitzotl
09,012,0001,Tlalpan
09,013,0001,Xochimilco
09,013,0001,Xochimilco
09,013,0001,Xochimilco
11,011,0054,Tierra Fría
15,013,0001,Ciudad López Mateos
19,026,0001,Guadalupe
20,167,0001,San José del Peñasco
20,193,0001,San Juan del Estado
20,294,0001,San Pablo Huitzo
20,303,0001,San Pedro Cajonos
20,337,0001,San Pedro y San Pablo Ayutla
20,338,0001,Villa de Etla
20,392,0001,Santa Lucía Monteverde
20,190,0013,María Lombardo de Caso
20,515,0001,Santo Domingo Tehuantepec
20,427,0010,Rincón Viejo
20,073,0001,Putla Villa de Guerrero
20,390,0003,San Francisco Tutla
20,553,0001,Tlalixtac de Cabrera
20,043,0001,Heroica Ciudad de Juchitán de Zaragoza
20,091,0001,San Andrés Huayápam
20,092,0001,San Andrés Ixtlahuaca
20,103,0001,San Antonino Castillo Velasco
20,124,0001,San Blas Atempa
20,150,0001,San Francisco Telixtlahuaca
21,041,0008,Sanctorum
25,001,0156,Gustavo Díaz Ordaz (El Carrizo)
25,002,0031,Colonia Independencia (Chinitos)
25,002,0032,Colonia Agrícola México (Palmitas)
25,012,0348,Villa Unión
30,087,0001,Xalapa-Enríquez
05,035,0001,Torreón
08,019,0001,Chihuahua
08,045,0015,Lázaro Cárdenas
12,001,0001,Acapulco de Juárez
12,075,0001,Zumpango del Río
16,020,0001,Cuitzeo del Porvenir
18,010,0035,San Vicente
18,011,0001,Ruíz
22,014,0001,Santiago de Querétaro
29,010,0001,Santa Ana Chiautempan
29,033,0011,San Esteban Tizatlán
31,011,0001,Celestún
31,041,0001,Kanasín
31,041,0001,Kanasín
31,076,0001,Tecoh
31,099,0001,Uayma
31,101,0001,Umán
32,017,0001,Guadalupe
32,051,0008,González Ortega (Bañón)
32,056,0001,Zacatecas
15,057,0001,Naucalpan de Juárez
